Order_ID,Order_Date,Customer_ID,Product_ID,Region,Quantity_Sold,Unit_Cost,Unit_Price,Total_Revenue
ORD008568,2025-01-04,CUST5728,P048,West,8,451.19,774.15,6193.2
ORD001421,2025-01-04,CUST5548,P017,East,9,257.14,366.31,3296.79
ORD002630,2025-01-04,CUST7276,P004,North,4,490.22,843.01,3372.04
ORD002240,2025-01-04,CUST3243,P004,North,8,490.22,674.87,5398.96
ORD007885,2025-01-04,CUST1001,P019,North,1,426.5,723.63,723.63
ORD009561,2025-01-04,CUST6029,P022,South,8,26.24,44.02,352.16
ORD000395,2025-01-04,CUST6642,P002,East,9,302.28,483.18,4348.62
ORD007150,2025-01-04,CUST9131,P001,North,6,172.21,340.37,2042.22
ORD007305,2025-01-04,CUST1771,P032,South,8,59.74,85.7,685.6
ORD005419,2025-01-04,CUST6429,P048,South,1,451.19,875.89,875.89
ORD000272,2025-01-04,CUST9560,P009,South,9,468.44,770.47,6934.23
ORD002325,2025-01-04,CUST6642,P042,West,2,270.11,504.58,1009.16
ORD007534,2025-01-04,CUST1347,P016,South,9,46.75,81.63,734.67
ORD008066,2025-01-04,CUST4828,P028,South,9,398.21,519.44,4674.96
ORD009766,2025-01-04,CUST3313,P030,North,4,372.42,608.11,2432.44
ORD006941,2025-01-04,CUST9252,P016,East,4,46.75,62.99,251.96
ORD005196,2025-01-04,CUST9606,P034,West,1,163.73,277.09,277.09
ORD008322,2025-01-04,CUST3737,P008,East,6,448.34,673.67,4042.02
ORD008747,2025-01-04,CUST2225,P002,South,8,302.28,492.73,3941.84
ORD008773,2025-01-04,CUST8038,P040,East,8,272.52,413.77,3310.16
ORD005464,2025-01-04,CUST1755,P050,East,4,218.77,346.25,1385.0
ORD008105,2025-01-05,CUST3092,P013,East,1,255.76,422.11,422.11
ORD007727,2025-01-05,CUST6963,P023,West,9,315.95,460.88,4147.92
ORD009773,2025-01-05,CUST5624,P032,North,9,59.74,88.13,793.17
ORD002876,2025-01-05,CUST4933,P043,North,1,136.95,271.12,271.12
ORD005720,2025-01-05,CUST1573,P048,East,4,451.19,764.98,3059.92
ORD005001,2025-01-05,CUST8955,P030,East,7,372.42,735.29,5147.03
ORD001228,2025-01-05,CUST1791,P028,East,2,398.21,692.27,1384.54
ORD001988,2025-01-05,CUST3054,P042,North,1,270.11,525.28,525.28
ORD005732,2025-01-05,CUST9932,P003,West,1,310.02,608.19,608.19
ORD004124,2025-01-05,CUST6989,P004,West,2,490.22,846.33,1692.66
ORD008381,2025-01-05,CUST2403,P047,South,7,229.84,420.51,2943.57
ORD007860,2025-01-05,CUST5062,P002,South,9,302.28,524.21,4717.89
ORD001646,2025-01-05,CUST7914,P034,East,6,163.73,319.86,1919.16
ORD008562,2025-01-05,CUST8591,P012,East,2,297.26,524.01,1048.02
ORD003561,2025-01-05,CUST8906,P022,North,6,26.24,51.02,306.12
ORD000413,2025-01-05,CUST2876,P015,West,1,38.69,72.88,72.88
ORD003539,2025-01-05,CUST2344,P038,East,2,359.85,583.91,1167.82
ORD000072,2025-01-05,CUST8362,P041,North,2,147.12,248.92,497.84
ORD003331,2025-01-05,CUST3241,P044,North,4,386.92,569.9,2279.6
ORD005906,2025-01-06,CUST1073,P042,North,5,270.11,379.22,1896.1
ORD006793,2025-01-06,CUST1334,P010,West,6,330.83,535.78,3214.68
ORD000163,2025-01-06,CUST7606,P004,South,1,490.22,685.44,685.44
ORD001956,2025-01-06,CUST1014,P038,East,3,359.85,670.44,2011.32
ORD004206,2025-01-06,CUST1513,P048,West,6,451.19,751.9,4511.4
ORD003153,2025-01-06,CUST4092,P049,West,2,102.56,182.13,364.26
ORD004700,2025-01-06,CUST5533,P039,East,3,355.16,679.12,2037.36
ORD006834,2025-01-06,CUST1745,P041,East,3,147.12,269.27,807.81
ORD005532,2025-01-06,CUST2895,P027,North,9,66.74,105.36,948.24
ORD006202,2025-01-06,CUST1743,P019,West,1,426.5,676.75,676.75
ORD006780,2025-01-06,CUST5644,P013,North,4,255.76,504.23,2016.92
ORD007889,2025-01-06,CUST4281,P029,South,3,338.82,617.58,1852.74
ORD007376,2025-01-06,CUST7870,P030,East,2,372.42,664.18,1328.36
ORD002659,2025-01-06,CUST4727,P043,East,2,136.95,218.97,437.94
ORD000825,2025-01-06,CUST4900,P037,South,6,491.17,947.25,5683.5
ORD001452,2025-01-06,CUST1532,P028,East,5,398.21,574.65,2873.25
ORD006830,2025-01-06,CUST5483,P042,North,1,270.11,357.45,357.45
ORD009800,2025-01-06,CUST4492,P040,North,7,272.52,494.35,3460.45
ORD007353,2025-01-06,CUST1899,P001,West,4,172.21,303.7,1214.8
ORD005580,2025-01-06,CUST9991,P001,East,5,172.21,311.99,1559.95
ORD007855,2025-01-06,CUST3432,P027,West,8,66.74,98.06,784.48
ORD004561,2025-01-06,CUST2367,P011,South,3,82.29,112.63,337.89
ORD002547,2025-01-07,CUST1372,P013,East,4,255.76,359.78,1439.12
ORD002891,2025-01-07,CUST6597,P005,South,9,41.46,59.28,533.52
ORD001232,2025-01-07,CUST7388,P050,East,8,218.77,363.47,2907.76
ORD006833,2025-01-07,CUST6629,P047,East,2,229.84,303.01,606.02
ORD005581,2025-01-07,CUST4538,P041,East,5,147.12,253.44,1267.2
ORD005150,2025-01-07,CUST7226,P047,South,5,229.84,368.13,1840.65
ORD008858,2025-01-07,CUST9033,P042,North,3,270.11,427.37,1282.11
ORD007398,2025-01-07,CUST8169,P017,North,1,257.14,417.13,417.13
ORD007110,2025-01-07,CUST1608,P009,North,8,468.44,704.65,5637.2
ORD000035,2025-01-07,CUST2583,P011,East,6,82.29,143.51,861.06
ORD008308,2025-01-07,CUST2108,P023,East,4,315.95,500.98,2003.92
ORD002187,2025-01-07,CUST8579,P007,North,1,136.4,214.3,214.3
ORD006065,2025-01-07,CUST9844,P038,West,1,359.85,663.46,663.46
ORD005243,2025-01-07,CUST4003,P006,South,1,427.07,736.89,736.89
ORD007936,2025-01-07,CUST7013,P050,West,9,218.77,308.76,2778.84
ORD007671,2025-01-07,CUST5711,P018,East,8,85.44,153.07,1224.56
ORD007694,2025-01-07,CUST4822,P030,West,5,372.42,615.07,3075.35
ORD007557,2025-01-07,CUST9075,P021,North,2,302.27,501.18,1002.36
ORD002997,2025-01-08,CUST4751,P018,North,4,85.44,142.33,569.32
ORD009231,2025-01-08,CUST1871,P026,South,6,172.43,254.23,1525.38
ORD004141,2025-01-08,CUST1627,P037,West,4,491.17,660.91,2643.64
ORD006061,2025-01-08,CUST2532,P010,North,8,330.83,658.34,5266.72
ORD009578,2025-01-08,CUST8094,P043,East,9,136.95,242.97,2186.73
ORD007055,2025-01-08,CUST5159,P045,South,1,433.6,606.13,606.13
ORD000772,2025-01-08,CUST9778,P017,North,2,257.14,384.05,768.1
ORD008827,2025-01-08,CUST5205,P026,North,2,172.43,249.07,498.14
ORD005106,2025-01-08,CUST1826,P033,West,2,94.18,175.12,350.24
ORD002045,2025-01-08,CUST6062,P030,North,1,372.42,739.68,739.68
ORD008871,2025-01-08,CUST7740,P050,West,7,218.77,348.14,2436.98
ORD003036,2025-01-08,CUST3038,P036,South,2,482.09,745.86,1491.72
ORD005155,2025-01-08,CUST8033,P050,South,3,218.77,335.2,1005.6
ORD006716,2025-01-09,CUST9382,P021,East,9,302.27,492.34,4431.06
ORD005189,2025-01-09,CUST4362,P016,North,6,46.75,77.57,465.42
ORD009627,2025-01-09,CUST4254,P011,South,1,82.29,121.47,121.47
ORD008369,2025-01-09,CUST2430,P040,West,8,272.52,356.28,2850.24
ORD006757,2025-01-09,CUST3563,P037,West,2,491.17,832.13,1664.26
ORD009765,2025-01-09,CUST9965,P040,East,5,272.52,471.98,2359.9
ORD007626,2025-01-09,CUST1420,P024,North,4,312.87,447.94,1791.76
ORD000523,2025-01-09,CUST5926,P040,North,8,272.52,386.9,3095.2
ORD009987,2025-01-09,CUST4389,P031,North,9,254.43,388.04,3492.36
ORD000578,2025-01-09,CUST8592,P029,West,6,338.82,541.73,3250.38
ORD003630,2025-01-09,CUST4590,P042,North,9,270.11,360.71,3246.39
ORD007315,2025-01-09,CUST5307,P006,South,6,427.07,747.79,4486.74
ORD005857,2025-01-09,CUST7705,P011,East,4,82.29,125.75,503.0
ORD007441,2025-01-09,CUST4938,P027,East,8,66.74,124.77,998.16
ORD004395,2025-01-09,CUST3180,P004,West,6,490.22,714.1,4284.6
ORD008620,2025-01-09,CUST5146,P040,East,8,272.52,357.49,2859.92
ORD001791,2025-01-09,CUST3996,P007,West,7,136.4,239.25,1674.75
ORD000581,2025-01-09,CUST2905,P034,West,9,163.73,291.71,2625.39
ORD006760,2025-01-09,CUST3104,P048,East,7,451.19,775.61,5429.27
ORD008526,2025-01-10,CUST5501,P004,East,2,490.22,876.5,1753.0
ORD001403,2025-01-10,CUST6503,P009,East,6,468.44,725.92,4355.52
ORD008480,2025-01-10,CUST4435,P015,East,4,38.69,52.54,210.16
ORD002691,2025-01-10,CUST8594,P027,East,7,66.74,89.64,627.48
ORD009880,2025-01-10,CUST4751,P030,South,8,372.42,503.56,4028.48
ORD009196,2025-01-10,CUST1406,P042,South,4,270.11,452.38,1809.52
ORD005098,2025-01-10,CUST2488,P021,North,6,302.27,488.03,2928.18
ORD005011,2025-01-10,CUST8764,P035,East,5,241.33,473.69,2368.45
ORD009014,2025-01-10,CUST9806,P020,East,1,485.81,912.06,912.06
ORD000929,2025-01-10,CUST2332,P039,West,3,355.16,604.84,1814.52
ORD002850,2025-01-10,CUST4915,P043,East,9,136.95,244.09,2196.81
ORD008187,2025-01-10,CUST9644,P048,West,4,451.19,652.46,2609.84
ORD009281,2025-01-10,CUST5612,P007,East,9,136.4,205.58,1850.22
ORD006253,2025-01-10,CUST1027,P031,East,3,254.43,494.44,1483.32
ORD008258,2025-01-10,CUST6383,P013,East,8,255.76,415.69,3325.52
ORD000923,2025-01-10,CUST8746,P032,North,1,59.74,109.56,109.56
ORD003492,2025-01-10,CUST8706,P026,East,1,172.43,294.92,294.92
ORD006175,2025-01-11,CUST2467,P020,North,1,485.81,701.49,701.49
ORD001935,2025-01-11,CUST7115,P020,East,4,485.81,765.21,3060.84
ORD008707,2025-01-11,CUST9280,P010,West,6,330.83,537.43,3224.58
ORD005067,2025-01-11,CUST2984,P045,East,3,433.6,762.95,2288.85
ORD000661,2025-01-11,CUST4649,P019,West,7,426.5,834.21,5839.47
ORD002404,2025-01-11,CUST6060,P001,North,7,172.21,245.35,1717.45
ORD001379,2025-01-11,CUST4156,P018,West,5,85.44,118.26,591.3
ORD006214,2025-01-11,CUST4111,P001,North,2,172.21,291.29,582.58
ORD008073,2025-01-11,CUST3646,P029,West,2,338.82,542.45,1084.9
ORD000391,2025-01-11,CUST1910,P028,South,2,398.21,688.04,1376.08
ORD003858,2025-01-11,CUST4912,P019,North,3,426.5,794.49,2383.47
ORD009141,2025-01-11,CUST9695,P040,East,2,272.52,481.21,962.42
ORD004194,2025-01-11,CUST7981,P041,North,1,147.12,234.96,234.96
ORD005239,2025-01-11,CUST6096,P035,East,5,241.33,343.49,1717.45
ORD004547,2025-01-11,CUST5737,P022,West,9,26.24,40.5,364.5
ORD007030,2025-01-11,CUST1728,P020,South,5,485.81,865.68,4328.4
ORD000947,2025-01-11,CUST4196,P037,South,7,491.17,964.92,6754.44
ORD000728,2025-01-11,CUST8383,P047,East,8,229.84,303.63,2429.04
ORD009442,2025-01-11,CUST2254,P044,North,7,386.92,656.35,4594.45
ORD001770,2025-01-11,CUST2420,P040,South,8,272.52,470.2,3761.6
ORD003004,2025-01-11,CUST6791,P032,South,2,59.74,96.66,193.32
ORD000583,2025-01-12,CUST1546,P002,West,3,302.28,425.14,1275.42
ORD004627,2025-01-12,CUST7752,P010,East,5,330.83,468.39,2341.95
ORD009086,2025-01-12,CUST9536,P008,East,7,448.34,866.08,6062.56
ORD001374,2025-01-12,CUST5857,P043,East,4,136.95,192.23,768.92
ORD004563,2025-01-12,CUST6498,P042,South,6,270.11,419.13,2514.78
ORD000402,2025-01-12,CUST9685,P025,East,8,134.87,208.27,1666.16
ORD006524,2025-01-12,CUST1121,P039,North,5,355.16,698.39,3491.95
ORD005777,2025-01-12,CUST2823,P035,South,1,241.33,444.74,444.74
ORD009996,2025-01-12,CUST7739,P020,North,8,485.81,751.81,6014.48
ORD006433,2025-01-12,CUST7005,P009,West,5,468.44,858.1,4290.5
ORD004028,2025-01-12,CUST7529,P022,North,6,26.24,41.95,251.7
ORD007614,2025-01-12,CUST6768,P015,East,6,38.69,70.48,422.88
ORD006151,2025-01-12,CUST6427,P003,South,2,310.02,569.66,1139.32
ORD002627,2025-01-12,CUST5317,P038,West,7,359.85,567.45,3972.15
ORD001768,2025-01-12,CUST2541,P040,North,8,272.52,537.0,4296.0
ORD005822,2025-01-12,CUST6081,P037,East,9,491.17,772.15,6949.35
ORD006326,2025-01-12,CUST8851,P019,East,8,426.5,662.3,5298.4
ORD003433,2025-01-12,CUST1183,P023,East,2,315.95,588.88,1177.76
ORD007073,2025-01-12,CUST6427,P041,South,8,147.12,250.56,2004.48
ORD003159,2025-01-13,CUST5099,P017,South,4,257.14,439.34,1757.36
ORD000276,2025-01-13,CUST6800,P048,North,9,451.19,834.66,7511.94
ORD005884,2025-01-13,CUST1374,P003,East,4,310.02,577.65,2310.6
ORD004868,2025-01-13,CUST9835,P023,East,2,315.95,594.6,1189.2
ORD008877,2025-01-13,CUST1575,P029,East,7,338.82,622.29,4356.03
ORD004870,2025-01-13,CUST8981,P016,North,5,46.75,91.13,455.65
ORD009437,2025-01-13,CUST4450,P006,East,9,427.07,739.88,6658.92
ORD004549,2025-01-13,CUST8440,P026,North,7,172.43,341.51,2390.57
ORD005920,2025-01-13,CUST2954,P010,West,8,330.83,466.95,3735.6
ORD002386,2025-01-13,CUST4861,P024,East,9,312.87,547.98,4931.82
ORD007000,2025-01-13,CUST9507,P031,East,9,254.43,384.4,3459.6
ORD000654,2025-01-13,CUST7725,P018,West,2,85.44,112.5,225.0
ORD007418,2025-01-13,CUST4810,P039,South,6,355.16,564.02,3384.12
ORD004725,2025-01-13,CUST7953,P028,West,4,398.21,549.63,2198.52
ORD006138,2025-01-13,CUST1077,P022,East,9,26.24,47.11,423.99
ORD008375,2025-01-13,CUST2748,P031,North,5,254.43,345.48,1727.4
ORD008389,2025-01-13,CUST3989,P017,East,3,257.14,398.37,1195.11
ORD000429,2025-01-13,CUST2833,P035,South,9,241.33,356.12,3205.08
ORD005386,2025-01-13,CUST9645,P047,North,3,229.84,354.08,1062.24
ORD001433,2025-01-13,CUST7913,P049,West,3,102.56,167.34,502.02
ORD004581,2025-01-13,CUST7651,P044,North,3,386.92,571.4,1714.2
ORD006559,2025-01-14,CUST3142,P044,North,8,386.92,757.33,6058.64
ORD002011,2025-01-14,CUST1232,P035,East,7,241.33,437.31,3061.17
ORD003713,2025-01-14,CUST6001,P012,West,8,297.26,592.57,4740.56
ORD002110,2025-01-14,CUST9812,P025,North,5,134.87,210.09,1050.45
ORD004411,2025-01-14,CUST2247,P029,South,5,338.82,644.49,3222.45
ORD000985,2025-01-14,CUST2803,P033,East,3,94.18,161.1,483.3
ORD001777,2025-01-14,CUST3186,P040,South,6,272.52,521.24,3127.44
ORD005736,2025-01-14,CUST2615,P049,South,7,102.56,183.8,1286.6
ORD003427,2025-01-14,CUST1777,P050,North,8,218.77,435.26,3482.08
ORD003075,2025-01-14,CUST9003,P009,North,4,468.44,846.92,3387.68
ORD002511,2025-01-14,CUST2478,P004,East,9,490.22,853.35,7680.15
ORD006362,2025-01-14,CUST4633,P032,East,2,59.74,80.47,160.94
ORD001431,2025-01-14,CUST6653,P047,North,9,229.84,413.54,3721.86
ORD005509,2025-01-14,CUST8546,P029,South,9,338.82,561.09,5049.81
ORD008305,2025-01-14,CUST4091,P012,East,5,297.26,411.82,2059.1
ORD009654,2025-01-15,CUST4555,P028,East,1,398.21,772.02,772.02
ORD007956,2025-01-15,CUST7939,P009,South,8,468.44,884.36,7074.88
ORD003569,2025-01-15,CUST6262,P010,North,3,330.83,499.2,1497.6
ORD002118,2025-01-15,CUST7513,P003,East,3,310.02,460.73,1382.19
ORD007818,2025-01-15,CUST6097,P026,South,9,172.43,259.9,2339.1
ORD000938,2025-01-15,CUST1839,P007,North,9,136.4,182.81,1645.29
ORD005261,2025-01-15,CUST4414,P013,East,9,255.76,335.65,3020.85
ORD008821,2025-01-15,CUST6350,P022,South,4,26.24,38.17,152.68
ORD009211,2025-01-15,CUST3109,P034,East,6,163.73,284.05,1704.3
ORD005725,2025-01-16,CUST6954,P046,West,3,358.75,631.49,1894.47
ORD001259,2025-01-16,CUST4545,P009,North,6,468.44,661.29,3967.74
ORD007277,2025-01-16,CUST6914,P028,East,8,398.21,769.1,6152.8
ORD008652,2025-01-16,CUST3500,P019,North,7,426.5,574.84,4023.88
ORD005738,2025-01-16,CUST3009,P005,North,3,41.46,64.31,192.93
ORD009113,2025-01-16,CUST3772,P044,North,5,386.92,706.88,3534.4
ORD009607,2025-01-16,CUST5370,P013,East,7,255.76,368.61,2580.27
ORD007403,2025-01-16,CUST5896,P025,South,6,134.87,249.18,1495.08
ORD003865,2025-01-16,CUST8062,P023,South,7,315.95,501.45,3510.15
ORD000912,2025-01-16,CUST4292,P003,West,5,310.02,461.09,2305.45
ORD008446,2025-01-17,CUST1470,P047,South,9,229.84,384.92,3464.28
ORD009110,2025-01-17,CUST2416,P043,West,1,136.95,213.27,213.27
ORD005289,2025-01-17,CUST7360,P042,East,1,270.11,402.19,402.19
ORD006592,2025-01-17,CUST3599,P047,East,6,229.84,342.53,2055.18
ORD006675,2025-01-17,CUST6878,P016,West,4,46.75,72.51,290.04
ORD001725,2025-01-17,CUST8523,P028,North,8,398.21,518.51,4148.08
ORD004697,2025-01-17,CUST4508,P012,East,7,297.26,574.81,4023.67
ORD000646,2025-01-17,CUST8240,P007,North,3,136.4,180.02,540.06
ORD007524,2025-01-17,CUST3374,P006,South,7,427.07,571.73,4002.11
ORD000153,2025-01-17,CUST6805,P007,East,6,136.4,187.97,1127.82
ORD009288,2025-01-17,CUST8658,P025,North,5,134.87,219.09,1095.45
ORD009506,2025-01-17,CUST7555,P008,East,6,448.34,769.46,4616.76
ORD004505,2025-01-17,CUST4668,P018,East,9,85.44,133.39,1200.51
ORD009048,2025-01-17,CUST2918,P006,South,1,427.07,832.21,832.21
ORD005468,2025-01-17,CUST8118,P010,North,2,330.83,464.88,929.76
ORD001225,2025-01-17,CUST7928,P004,South,6,490.22,970.47,5822.82
ORD002224,2025-01-18,CUST1502,P037,North,6,491.17,678.75,4072.5
ORD002443,2025-01-18,CUST8686,P016,South,4,46.75,85.78,343.12
ORD005137,2025-01-18,CUST2161,P018,East,6,85.44,111.09,666.54
ORD006761,2025-01-18,CUST5356,P025,South,9,134.87,236.06,2124.54
ORD003410,2025-01-18,CUST9479,P047,East,1,229.84,392.83,392.83
ORD007099,2025-01-18,CUST7086,P004,South,8,490.22,895.19,7161.52
ORD009293,2025-01-18,CUST1974,P005,West,1,41.46,65.88,65.88
ORD000015,2025-01-18,CUST5178,P025,South,6,134.87,205.8,1234.8
ORD006135,2025-01-18,CUST6227,P008,East,4,448.34,698.24,2792.96
ORD000643,2025-01-18,CUST5911,P040,North,9,272.52,542.29,4880.61
ORD004483,2025-01-18,CUST9662,P009,West,2,468.44,722.73,1445.46
ORD008546,2025-01-18,CUST3512,P045,East,2,433.6,791.52,1583.04
ORD008253,2025-01-18,CUST1142,P012,East,5,297.26,411.95,2059.75
ORD007946,2025-01-18,CUST2105,P042,South,7,270.11,424.96,2974.72
ORD008965,2025-01-18,CUST1068,P002,East,9,302.28,474.89,4274.01
ORD004987,2025-01-18,CUST7716,P002,East,2,302.28,476.81,953.62
ORD007934,2025-01-18,CUST9736,P046,North,5,358.75,667.33,3336.65
ORD001701,2025-01-18,CUST8061,P025,East,7,134.87,229.92,1609.44
ORD007953,2025-01-18,CUST5103,P019,South,7,426.5,630.61,4414.27
ORD006001,2025-01-18,CUST7354,P044,South,5,386.92,647.48,3237.4
ORD000937,2025-01-18,CUST1969,P021,South,8,302.27,400.4,3203.2
ORD006540,2025-01-18,CUST5940,P013,North,2,255.76,374.63,749.26
ORD005439,2025-01-18,CUST7682,P008,North,7,448.34,817.17,5720.19
ORD008504,2025-01-18,CUST1498,P049,West,1,102.56,141.52,141.52
ORD002932,2025-01-18,CUST5157,P031,North,5,254.43,498.52,2492.6
ORD006101,2025-01-18,CUST6910,P032,East,1,59.74,78.47,78.47
ORD001563,2025-01-18,CUST3355,P010,North,4,330.83,449.61,1798.44
ORD007325,2025-01-19,CUST6330,P013,North,4,255.76,359.4,1437.6
ORD009992,2025-01-19,CUST4631,P016,East,3,46.75,63.67,191.01
ORD001874,2025-01-19,CUST4636,P016,East,5,46.75,65.37,326.85
ORD000606,2025-01-19,CUST8436,P037,South,5,491.17,717.03,3585.15
ORD007454,2025-01-19,CUST6463,P013,West,8,255.76,396.21,3169.68
ORD001793,2025-01-19,CUST4727,P010,South,6,330.83,475.52,2853.12
ORD008145,2025-01-19,CUST4682,P026,South,3,172.43,337.47,1012.41
ORD008834,2025-01-19,CUST2599,P050,West,3,218.77,395.94,1187.82
ORD008202,2025-01-19,CUST6741,P010,North,1,330.83,455.13,455.13
ORD001267,2025-01-19,CUST5319,P042,East,2,270.11,509.29,1018.58
ORD003935,2025-01-19,CUST5262,P023,East,3,315.95,499.19,1497.57
ORD005527,2025-01-19,CUST3301,P048,North,3,451.19,747.88,2243.64
ORD005821,2025-01-19,CUST6349,P026,South,6,172.43,295.98,1775.88
ORD007649,2025-01-19,CUST6507,P022,South,2,26.24,44.1,88.2
ORD005474,2025-01-19,CUST3252,P035,East,5,241.33,350.21,1751.05
ORD007617,2025-01-19,CUST1237,P037,North,8,491.17,667.57,5340.56
ORD004301,2025-01-19,CUST5807,P023,South,9,315.95,498.81,4489.29
ORD007218,2025-01-20,CUST9343,P035,North,1,241.33,404.1,404.1
ORD004677,2025-01-20,CUST5213,P022,East,9,26.24,45.99,413.91
ORD002199,2025-01-20,CUST1156,P020,South,2,485.81,827.64,1655.28
ORD008801,2025-01-20,CUST3943,P031,West,8,254.43,481.36,3850.88
ORD004679,2025-01-20,CUST6109,P048,West,9,451.19,744.99,6704.91
ORD001056,2025-01-20,CUST2588,P048,East,5,451.19,739.14,3695.7
ORD000075,2025-01-20,CUST4044,P027,North,9,66.74,100.76,906.84
ORD000318,2025-01-20,CUST9546,P033,South,5,94.18,152.19,760.95
